,model,cpu_mean,cpu_std,gpu_mean,gpu_std,trt_mean,trt_std
0,SSRNet_1,0.0037034694870817474,0.00012349641213843177,0.0040152348928469495,6.204383046753945e-05,0.0014031941398612356,5.8706987172236794e-05
1,SSRNet_32,0.10628786217171833,0.002398671885893988,0.008851425712803446,0.00017020853874954176,0.003886972794300943,1.715616620400843e-05
2,GoogLeNet,0.14366722415766814,0.0010046254913091955,0.011867465618582044,5.309853255430452e-05,0.0032097604899900033,1.580557181527336e-05
3,osnet_x0.25,0.35644909728601176,0.006991685934305929,0.03610173101437145,0.00022448008370391025,0.012372352434322238,2.275760822115517e-05
4,osnet_ain_x1.0,2.1134935196854974,0.017286835049919243,0.1550382787432422,0.0011880187885969446,0.05346952024306769,0.0002190609878185959
